ms id,gender,geno,d.o.b,ear,mom,dad,cage,user,date
2814,F,Nlrp3,11/04/21,R,2781,2764,A04,,
2806,F,Nlrp3,09/28/21,R,2744,2731,FA04,,
2816,F,Nlrp3,11/29/21,,2781,2764,J01,,
2817,F,Nlrp3,11/29/21,,2781,2764,J01,,
2499,M,Nlrp3,09/06/19,LLR,2359,2415,J02,,
2512,M,Nlrp3,09/23/19,NH,2397,2413,J02,,
2515,M,Nlrp3,09/30/19,R,2435,2438,J02,,
2516,M,Nlrp3,09/30/19,LR,2435,2438,J02,,
2500,F,Nlrp3,09/06/19,R,2359,2415,J03,,
2537,F,Nlrp3,10/16/19,LLR,2394,2411,J03,,
2731,M,Nlrp3,05/12/21,NH,2706,2702,J04,10/14 Out of JB4,
2732,M,Nlrp3,05/12/21,L,2706,2702,J04,10/14 Out of JB3,
2739,M,Nlrp3,06/03/21,R,2706,2702,J04,10/14 Out of JB5,
2740,M,Nlrp3,06/03/21,LR,2706,2702,J04,10/14 Out of JB6,
2738,M,Nlrp3,06/03/21,LL,2706,2702,J05,,
2757,M,Nlrp3,08/25/21,NH,2746,2740,J05,,
2758,M,Nlrp3,08/25/21,L,2746,2740,J05,,
2759,M,Nlrp3,08/25/21,R,2746,2740,J05,,
2737,M,Nlrp3,06/03/21,LR,2706,2702,J05+,Out for finght wound 10/15,
2546,F,Nlrp3,11/04/19,NH,2486,2457,J06,J03,
2547,F,Nlrp3,11/04/19,L,2486,2457,J06,J03,
2548,F,Nlrp3,11/04/19,R,2486,2457,J06,J03,
2556,M,Nlrp3,11/28/19,NH,2486,2457,J07,,
2558,M,Nlrp3,11/28/19,R,2486,2457,J07,,
2559,M,Nlrp3,11/28/19,LR,2486,2457,J07,,
2560,F,Nlrp3,11/28/19,NH,2486,2457,J08,,
2561,F,Nlrp3,11/28/19,L,2486,2457,J08,,
2563,F,Nlrp3,11/28/19,LR,2486,2457,J08,,
2564,F,Nlrp3,11/28/19,LL,2486,2457,J08,,
2585,M,Nlrp3,01/10/20,L,2486,2457,J09,,
2586,M,Nlrp3,01/10/20,R,2486,2457,J09,,
2587,M,Nlrp3,01/10/20,LR,2486,2457,J09,,
2589,F,Nlrp3,01/10/20,NH,2486,2457,J10,,
2590,F,Nlrp3,01/10/20,L,2486,2457,J10,,
2591,F,Nlrp3,01/10/20,R,2486,2457,J10,,
2765,M,Nlrp3,08/26/21,R,2743,2732,J11,,
2770,M,Nlrp3,08/26/21,LR,2745,2739,J11,,
2771,M,Nlrp3,08/26/21,RR,2745,2739,J11,,
2783,M,Nlrp3,09/22/21,L,2745,2739,J11,,
2785,M,Nlrp3,09/22/21,LLR,2745,2739,J11,,
2734,F,Nlrp3,05/12/21,NH,2706,2702,J12,,
2735,F,Nlrp3,05/12/21,L,2706,2702,J12,,
2736,F,Nlrp3,05/12/21,R,2706,2702,J12,,
2741,F,Nlrp3,06/03/21,LR,2706,2702,J12,,
2742,F,Nlrp3,06/03/21,LL,2706,2702,J12,,
2761,F,Nlrp3,08/25/21,L,2746,2740,J13,,
2766,F,Nlrp3,08/26/21,NH,2743,2732,J13,,
2767,F,Nlrp3,08/26/21,LR,2743,2732,J13,,
2774,F,Nlrp3,08/26/21,LL,2745,2739,J13,,
2780,F,Nlrp3,08/27/21,R,2744,2731,J13,,
2648,M,Nlrp3,07/04/20,NH,2592,2588,J14,,
2649,M,Nlrp3,07/04/20,L,2592,2588,J14,,
2650,M,Nlrp3,07/04/20,R,2592,2588,J14,,
2651,M,Nlrp3,07/04/20,LR,2592,2588,J14,,
2652,M,Nlrp3,07/04/20,LL,2592,2588,J14,,
2653,F,Nlrp3,07/04/20,NH,2592,2588,J15,J10,
2654,F,Nlrp3,07/04/20,L,2592,2588,J15,J10,
2788,F,Nlrp3,09/22/21,NH,2746,2740,J17,,
2789,F,Nlrp3,09/22/21,L,2746,2740,J17,,
2790,F,Nlrp3,09/22/21,R,2746,2740,J17,,
2791,F,Nlrp3,09/22/21,LR,2746,2740,J17,,
2792,F,Nlrp3,09/22/21,LL,2746,2740,J17,,
2794,M,Nlrp3,09/23/21,L,2743,2732,J18,,
2795,M,Nlrp3,09/23/21,R,2743,2732,J18,,
2797,M,Nlrp3,09/23/21,LL,2743,2732,J18,,
2798,F,Nlrp3,09/23/21,NH,2743,2732,J19,,
2800,F,Nlrp3,09/23/21,R,2743,2732,J19,,
2801,F,Nlrp3,09/23/21,LR,2743,2732,J19,,
2804,F,Nlrp3,09/28/21,LL,2744,2731,J19,,
2805,F,Nlrp3,09/28/21,L,2744,2731,J19,,
2812,M,Nlrp3,11/04/21,LR,2781,2764,J21,,
2813,M,Nlrp3,11/04/21,LL,2781,2764,J21,,
2821,M,Nlrp3,12/23/21,,2781,2764,J21,,
2822,M,Nlrp3,12/23/21,,2781,2764,J21,,
2823,M,Nlrp3,12/23/21,,2781,2764,J21,,
2824,F,Nlrp3,12/23/21,,2781,2764,J22,,
2825,F,Nlrp3,12/23/21,,2781,2764,J22,,
2826,F,Nlrp3,12/23/21,,2781,2764,J22,,
2703,F,Nlrp3,01/13/21,LR,2664,2661,MN14,out of JB1 8/16,
2706,F,Nlrp3,01/20/21,NH,2655,2662,MN14,out of JB2 8/23,
2815,M,Nlrp3,11/29/21,L,2781,2764,W09,,
